pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
15,Morecambe,46,17,10,19,67,81,-14,58,,2023-2024
16,Tranmere Rovers,46,17,6,23,67,70,-3,57,,2023-2024
17,Accrington Stanley,46,16,9,21,63,71,-8,57,,2023-2024
18,Newport County,46,16,7,23,62,76,-14,55,,2023-2024
19,Swindon Town,46,14,12,20,77,83,-6,54,,2023-2024
20,Salford City,46,13,12,21,66,82,-16,51,,2023-2024
21,Grimsby Town,46,11,16,19,57,74,-17,49,,2023-2024
22,Colchester United,46,11,12,23,59,80,-21,45,,2023-2024
23,Sutton United,46,9,15,22,59,84,-25,42,Relegated to National League,2023-2024
24,Forest Green Rovers,46,11,9,26,44,78,-34,42,Relegated to National League,2023-2024
1,Doncaster Rovers,46,24,12,10,73,50,23,84,Promotion to EFL League One,2024-2025
2,Port Vale,46,22,14,10,65,46,19,80,Promotion to EFL League One,2024-2025
3,Bradford City,46,22,12,12,64,45,19,78,Promotion to EFL League One,2024-2025
4,Walsall,46,21,14,11,75,54,21,77,Qualification for League Two play-offs,2024-2025
5,AFC Wimbledon,46,20,13,13,56,35,21,73,Qualification for League Two play-offs,2024-2025
6,Notts County,46,20,12,14,68,49,19,72,Qualification for League Two play-offs,2024-2025
7,Chesterfield,46,19,13,14,73,54,19,70,Qualification for League Two play-offs,2024-2025
8,Salford City,46,18,15,13,64,54,10,69,,2024-2025
9,Grimsby Town,46,20,8,18,61,67,-6,68,,2024-2025
10,Colchester United,46,16,19,11,52,47,5,67,,2024-2025
11,Bromley,46,17,15,14,64,59,5,66,,2024-2025
12,Swindon Town,46,15,17,14,71,63,8,62,,2024-2025
13,Crewe Alexandra,46,15,17,14,49,48,1,62,,2024-2025
14,Fleetwood Town,46,15,15,16,60,60,0,60,,2024-2025
15,Cheltenham Town,46,16,12,18,60,70,-10,60,,2024-2025
16,Barrow,46,15,14,17,52,50,2,59,,2024-2025
17,Gillingham,46,14,16,16,41,46,-5,58,,2024-2025
18,Harrogate Town,46,14,11,21,43,61,-18,53,,2024-2025
19,Milton Keynes Dons,46,14,10,22,52,66,-14,52,,2024-2025
20,Tranmere Rovers,46,12,15,19,45,65,-20,51,,2024-2025
21,Accrington Stanley,46,12,14,20,53,69,-16,50,,2024-2025
22,Newport County,46,13,10,23,52,76,-24,49,,2024-2025
23,Carlisle United,46,10,12,24,44,71,-27,42,Relegation to National League,2024-2025
24,Morecambe,46,10,6,30,40,72,-32,36,Relegation to National League,2024-2025
