pos,team,pld,w,d,l,gf,ga,gd,pts,promotion_qualification_or_relegation,season
5,Leyton Orient,46,20,15,11,59,51,8,75,Qualification for the Third Division play-offs,2000-2001
6,Hull City,46,19,17,10,47,39,8,74,Qualification for the Third Division play-offs,2000-2001
7,Blackpool,46,22,6,18,74,58,16,72,Qualification for the Third Division play-offs,2000-2001
8,Rochdale,46,18,17,11,59,48,11,71,,2000-2001
9,Cheltenham Town,46,18,14,14,59,52,7,68,,2000-2001
10,Scunthorpe United,46,18,11,17,62,52,10,65,,2000-2001
11,Southend United,46,15,18,13,55,53,2,63,,2000-2001
12,Plymouth Argyle,46,15,13,18,54,61,-7,58,,2000-2001
13,Mansfield Town,46,15,13,18,64,72,-8,58,,2000-2001
14,Macclesfield Town,46,14,14,18,51,62,-11,56,,2000-2001
15,Shrewsbury Town,46,15,10,21,49,65,-16,55,,2000-2001
16,Kidderminster Harriers,46,13,14,19,47,61,-14,53,,2000-2001
17,York City,46,13,13,20,42,63,-21,52,,2000-2001
18,Lincoln City,46,12,15,19,58,66,-8,51,,2000-2001
19,Exeter City,46,12,14,20,40,58,-18,50,,2000-2001
20,Darlington,46,12,13,21,44,56,-12,49,,2000-2001
21,Torquay United,46,12,13,21,52,77,-25,49,,2000-2001
22,Carlisle United,46,11,15,20,42,65,-23,48,,2000-2001
23,Halifax Town,46,12,11,23,54,68,-14,47,,2000-2001
24,Barnet,46,12,9,25,67,81,-14,45,Relegation to Football Conference,2000-2001
1,Plymouth Argyle,46,31,9,6,71,28,43,102,Promotion to Football League Second Division,2001-2002
2,Luton Town,46,30,7,9,96,48,48,97,Promotion to Football League Second Division,2001-2002
3,Mansfield Town,46,24,7,15,72,60,12,79,Promotion to Football League Second Division,2001-2002
4,Cheltenham Town,46,21,15,10,66,49,17,78,Qualification for the Third Division play-offs,2001-2002
5,Rochdale,46,21,15,10,65,52,13,78,Qualification for the Third Division play-offs,2001-2002
6,Rushden & Diamonds,46,20,13,13,69,53,16,73,Qualification for the Third Division play-offs,2001-2002
7,Hartlepool United,46,20,11,15,74,48,26,71,Qualification for the Third Division play-offs,2001-2002
8,Scunthorpe United,46,19,14,13,74,56,18,71,,2001-2002
9,Shrewsbury Town,46,20,10,16,64,53,11,70,,2001-2002
10,Kidderminster Harriers,46,19,9,18,56,47,9,66,,2001-2002
11,Hull City,46,16,13,17,57,51,6,61,,2001-2002
12,Southend United,46,15,13,18,51,54,-3,58,,2001-2002
